DeviceTag: Xsens DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2025-02-05 09:33:27.023,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
100126,0.8945,0.0909,0.0108,-0.4376,-0.3546,-0.5363,-0.9966,0
100293,0.8928,0.0905,0.0155,-0.4410,0.4462,-0.9767,-0.7822,0
100459,0.8928,0.0867,0.0109,-0.4420,0.6236,-0.8754,0.2135,0
100626,0.8941,0.0826,0.0026,-0.4403,-0.6162,-0.2597,0.4197,0
100793,0.8967,0.0788,0.0013,-0.4356,-0.8387,0.1756,-0.2853,0
100959,0.8991,0.0771,0.0037,-0.4309,0.1084,0.2994,-1.1084,0
101126,0.8979,0.0779,0.0012,-0.4332,0.1019,-0.0737,-1.8605,0
101293,0.8961,0.0797,-0.0025,-0.4366,-0.4215,0.2555,-1.0473,0
101459,0.8944,0.0812,-0.0062,-0.4398,-0.4213,-0.0116,1.3332,0
101626,0.8929,0.0795,-0.0078,-0.4432,-0.7648,0.1957,1.5948,0
101793,0.8918,0.0841,-0.0111,-0.4445,-0.4365,0.3311,0.6958,0
101959,0.8930,0.0837,-0.0087,-0.4422,0.3697,-0.0134,-0.0682,0
102126,0.8951,0.0816,-0.0074,-0.4382,-0.1911,-0.1867,0.5769,0
102293,0.8966,0.0782,-0.0064,-0.4359,-0.6650,0.3586,0.4169,0
102459,0.8966,0.0760,-0.0048,-0.4363,-0.1252,0.3742,0.4739,0
102626,0.8961,0.0728,0.0003,-0.4379,-0.0752,0.4097,0.2362,0
102793,0.8956,0.0672,0.0079,-0.4397,-0.0639,-0.2530,-0.4865,0
102959,0.8937,0.0644,0.0148,-0.4437,-0.2057,0.0339,-0.3404,0
103126,0.8911,0.0665,0.0274,-0.4481,-0.2955,0.3788,-0.2812,0
103293,0.8889,0.0736,0.0474,-0.4496,-0.7359,-1.0661,0.6256,0
103459,0.8898,0.0629,0.0265,-0.4513,-0.0233,-2.1584,0.3717,0
103626,0.8912,0.0708,0.0268,-0.4472,-0.1183,-0.2743,-0.4956,0
103793,0.8927,0.0723,0.0239,-0.4441,-0.1184,0.5057,0.4034,0
103959,0.8928,0.0667,0.0275,-0.4445,-0.5495,-0.8322,-0.3409,0
104126,0.8942,0.0636,0.0277,-0.4423,-0.4558,-0.5752,-0.6943,0
104293,0.8964,0.0618,0.0250,-0.4383,-0.1404,0.0041,0.6812,0
104459,0.8982,0.0614,0.0220,-0.4347,0.4717,0.3703,-0.8222,0
104626,0.9009,0.0714,0.0167,-0.4278,0.3815,0.1830,-1.2687,0
104793,0.9018,0.0811,0.0132,-0.4242,-0.1702,0.3337,0.2109,0
104959,0.9002,0.0833,0.0126,-0.4273,-0.6382,0.4149,0.2809,0
105126,0.8992,0.0920,0.0104,-0.4276,-0.4571,-1.0881,-1.6619,0
105293,0.8980,0.1049,0.0070,-0.4272,-0.0376,0.1746,-0.1599,0
105459,0.8957,0.1106,0.0060,-0.4306,0.5196,1.1479,0.2508,0
105626,0.8937,0.1162,0.0053,-0.4333,0.8045,0.7453,-0.8912,0
105793,0.8928,0.1231,0.0046,-0.4332,0.0036,0.0771,-0.3086,0
105959,0.8919,0.1282,0.0047,-0.4337,-0.2388,-0.1297,0.3624,0
106126,0.8908,0.1282,0.0061,-0.4359,-0.3378,0.4507,0.9665,0
106293,0.8893,0.1233,0.0080,-0.4403,-0.4505,0.4072,0.6799,0
106459,0.8888,0.1195,0.0078,-0.4424,-0.2361,0.8078,0.0275,0
106626,0.8876,0.1201,0.0058,-0.4446,0.4840,0.4705,-0.1706,0
106793,0.8869,0.1202,0.0048,-0.4461,0.1047,0.0011,-0.9768,0
106959,0.8857,0.1237,0.0042,-0.4475,-0.5015,-0.1636,-0.7089,0
107126,0.8841,0.1250,0.0041,-0.4502,-0.6308,-0.0434,0.6487,0
107293,0.8833,0.1244,0.0041,-0.4521,-0.2820,0.1436,0.6001,0
107459,0.8828,0.1201,0.0055,-0.4542,-0.0767,0.2782,-0.3274,0
107626,0.8819,0.1156,0.0074,-0.4571,0.3910,0.7605,-0.4331,0
107793,0.8807,0.1121,0.0101,-0.4601,0.1193,0.4559,-0.5061,0
107959,0.8799,0.1120,0.0112,-0.4616,0.3529,0.5215,-0.4148,0
108126,0.8802,0.1142,0.0113,-0.4605,0.0219,0.8709,0.4806,0
108293,0.8806,0.1160,0.0107,-0.4594,0.1177,0.6130,0.7187,0
